epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.6555,1.08437,3.31374,1.20755,0.00389,0.63158,0.47914,0.47832,0.66031,3.29867,1.12669,8.335e-05,8.335e-05,8.335e-05
2,26.3081,0.64682,3.93825,0.84472,0.00829,0.50413,0.50499,0.46005,0.66438,2.92009,0.94739,0.000179739,0.000179739,0.000179739
3,37.188,0.72702,1.32245,1.00075,0.99541,0.5,0.50474,0.4888,0.57362,2.73321,0.8839,0.000272168,0.000272168,0.000272168
4,47.6623,0.61302,1.03125,0.94167,0.00677,1,0.50372,0.48044,0.53922,2.90272,0.87194,0.000360635,0.000360635,0.000360635
5,58.1493,0.62295,1.01456,0.96968,0.99928,0.5,0.50369,0.47552,0.55658,2.66505,0.86255,0.000445142,0.000445142,0.000445142
6,68.6604,0.65889,0.9612,0.93721,0.99479,0.5,0.53578,0.49552,0.59363,2.47049,0.87204,0.000525688,0.000525688,0.000525688
7,79.2476,0.61013,0.92932,0.94602,0.99526,0.5,0.54668,0.5229,0.52898,2.44553,0.86125,0.000602274,0.000602274,0.000602274
8,89.7601,0.52849,0.87194,0.90591,0.99009,0.5,0.63592,0.59316,0.59441,2.47747,0.88127,0.000674898,0.000674898,0.000674898
9,100.16,0.62149,0.80441,0.92671,0.99496,0.5,0.73371,0.66247,0.55242,2.29294,0.91001,0.000743562,0.000743562,0.000743562
10,110.626,0.58128,0.74629,0.90419,0.98348,0.5,0.82353,0.75237,0.50032,2.19794,0.88806,0.000808265,0.000808265,0.000808265
11,121.139,0.61344,0.80714,0.9408,0.97887,0.5,0.97059,0.87364,0.50675,1.91998,0.90416,0.000869007,0.000869007,0.000869007
12,132.04,0.54286,0.76319,0.90293,0.97661,0.58388,0.995,0.89156,0.50502,1.67367,0.8948,0.000925788,0.000925788,0.000925788
13,142.591,0.57229,0.79623,0.9289,0.86848,0.79317,0.995,0.87675,0.49927,1.34427,0.90115,0.000978609,0.000978609,0.000978609
14,152.953,0.57022,0.7741,0.91975,0.96243,0.72337,0.995,0.88204,0.49373,1.27954,0.89806,0.00102747,0.00102747,0.00102747
15,163.49,0.5293,0.69316,0.87914,0.97564,0.98223,0.995,0.90983,0.43342,1.02735,0.86123,0.00107237,0.00107237,0.00107237
16,173.895,0.51715,0.67496,0.86211,0.97134,1,0.995,0.89365,0.45502,0.90739,0.86859,0.00111331,0.00111331,0.00111331
17,184.316,0.50285,0.69988,0.89336,0.97109,1,0.995,0.89201,0.44805,0.98341,0.87428,0.00113889,0.00113889,0.00113889
18,194.622,0.52953,0.68225,0.88533,0.97244,1,0.995,0.89609,0.48963,0.79116,0.90485,0.00110589,0.00110589,0.00110589
19,205.083,0.45235,2.70181,0.73359,0.97389,1,0.995,0.8895,0.52705,0.81812,0.91166,0.00107288,0.00107288,0.00107288
20,215.987,0.50303,0.66484,0.8739,0.9419,0.99909,0.995,0.8993,0.4626,0.88491,0.87654,0.00103987,0.00103987,0.00103987
21,226.329,0.46113,2.63364,0.74436,0.94766,1,0.995,0.93073,0.42106,0.7625,0.86799,0.00100687,0.00100687,0.00100687
22,236.849,0.50759,0.66164,0.88235,0.97638,0.99192,0.995,0.90929,0.47375,0.72933,0.88932,0.000973861,0.000973861,0.000973861
23,247.215,0.48032,0.69375,0.89004,0.86969,1,0.995,0.92011,0.40366,0.74554,0.85709,0.000940855,0.000940855,0.000940855
24,257.587,0.53791,0.66414,0.89143,0.97924,1,0.995,0.9358,0.40479,0.68075,0.857,0.000907848,0.000907848,0.000907848
