epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
23,247.827,0.91603,1.05708,1.01256,0.97659,0.97368,0.99375,0.75934,0.91533,0.96822,1.02808,0.000940855,0.000940855,0.000940855
24,258.291,1.00744,1.04859,1.00944,0.97768,0.97368,0.99375,0.72741,0.95527,1.02166,1.04255,0.000907848,0.000907848,0.000907848
25,268.626,0.96568,1.03573,1.00192,0.98339,0.99863,0.995,0.73189,0.97548,0.97881,1.0501,0.000874842,0.000874842,0.000874842
26,279.204,1.04059,1.10024,1.03124,0.98971,0.99825,0.995,0.76843,0.91344,0.95873,1.05536,0.000841835,0.000841835,0.000841835
27,289.665,0.82165,1.98654,0.8566,0.98763,0.99761,0.995,0.71425,0.99702,0.96875,1.12541,0.000808828,0.000808828,0.000808828
28,300.041,0.91198,0.98031,1.01443,0.989,0.99725,0.995,0.75959,0.86533,0.88278,1.025,0.000775822,0.000775822,0.000775822
29,310.307,1.04976,0.91075,1.06011,0.98961,0.99835,0.995,0.75699,0.89957,0.87303,1.04763,0.000742815,0.000742815,0.000742815
30,320.619,0.87119,0.90238,0.95081,0.98315,0.99717,0.995,0.61641,1.22382,0.98817,1.29975,0.000709809,0.000709809,0.000709809
31,331.109,0.97408,0.93177,0.96991,0.95747,0.94737,0.97455,0.60259,1.28801,1.00663,1.38454,0.000676802,0.000676802,0.000676802
32,341.438,0.88986,0.92062,0.9826,0.98427,1,0.995,0.73169,0.98259,0.90125,1.06025,0.000643795,0.000643795,0.000643795
33,352.179,1.04961,0.97279,1.05653,0.99095,1,0.995,0.7544,0.91364,0.84099,1.02971,0.000610789,0.000610789,0.000610789
34,364.187,0.90598,0.8922,0.95544,0.9964,1,0.995,0.75081,0.92976,0.90067,1.06116,0.000577782,0.000577782,0.000577782
35,375.947,0.93823,0.89368,0.98204,0.99664,1,0.995,0.71739,0.92935,0.91917,1.05174,0.000544776,0.000544776,0.000544776
36,388.011,1.16071,1.36058,1.12365,0.99671,1,0.995,0.74676,0.83763,0.85502,1.00527,0.000511769,0.000511769,0.000511769
37,399.92,0.9482,0.9387,0.98806,0.99579,1,0.995,0.7822,0.76668,0.80869,0.97359,0.000478762,0.000478762,0.000478762
38,411.898,0.84788,1.00022,0.97214,0.99682,1,0.995,0.74819,0.83603,0.79608,1.00162,0.000445756,0.000445756,0.000445756
39,424.123,0.78967,0.84883,0.92976,0.996,1,0.995,0.7343,0.89076,0.79653,1.02292,0.000412749,0.000412749,0.000412749
40,434.719,0.75446,0.82069,0.90823,0.99655,1,0.995,0.75125,0.90504,0.78185,1.01508,0.000379743,0.000379743,0.000379743
41,445.007,0.73728,0.96976,0.9539,0.99608,1,0.995,0.75684,0.89623,0.78033,1.01053,0.000346736,0.000346736,0.000346736
42,455.403,0.78408,0.94035,0.92948,0.99002,1,0.995,0.76244,0.92893,0.82452,1.03609,0.000313729,0.000313729,0.000313729
43,465.68,0.93902,1.07008,1.0461,0.99062,1,0.995,0.74724,0.93889,0.82033,1.05719,0.000280723,0.000280723,0.000280723
44,476.031,0.70114,0.95034,0.8903,0.99276,1,0.995,0.7417,0.9215,0.78644,1.0661,0.000247716,0.000247716,0.000247716
45,486.221,0.76747,0.94646,0.92082,0.99317,1,0.995,0.75447,0.89629,0.76785,1.05469,0.00021471,0.00021471,0.00021471
46,496.54,0.83102,0.99554,0.94941,0.99518,1,0.995,0.76133,0.86687,0.73734,1.03489,0.000181703,0.000181703,0.000181703
47,506.853,0.83194,1.03948,0.90443,0.99541,1,0.995,0.75913,0.85546,0.74333,1.02543,0.000148696,0.000148696,0.000148696
48,517.347,0.63144,0.86335,0.8689,0.9949,1,0.995,0.76752,0.85273,0.72658,1.01281,0.00011569,0.00011569,0.00011569
49,527.953,0.6493,0.85762,0.89068,0.99463,1,0.995,0.767,0.83996,0.71977,1.00703,8.26832e-05,8.26832e-05,8.26832e-05
50,538.35,0.70499,0.88077,0.88957,0.99404,1,0.995,0.78086,0.80195,0.7065,0.9896,4.96766e-05,4.96766e-05,4.96766e-05
