epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.0968,2.5559,4.64835,2.07983,0.00379,0.36842,0.00336,0.0006,2.16963,4.40493,2.33986,8.335e-05,8.335e-05,8.335e-05
2,26.6774,1.50192,4.6647,1.30467,0.00699,1,0.01435,0.00828,1.47252,3.75542,1.29988,0.000179739,0.000179739,0.000179739
3,37.5606,1.53709,2.62392,1.28789,0.0068,1,0.01757,0.01151,1.2416,3.59644,1.15145,0.000272168,0.000272168,0.000272168
4,48.0855,1.25833,1.87344,1.12047,0.00675,1,0.25943,0.11234,1.19088,3.41096,1.07834,0.000360635,0.000360635,0.000360635
5,58.6579,1.32207,1.83285,1.15498,0.00667,1,0.66109,0.35722,1.11547,3.23964,1.08455,0.000445142,0.000445142,0.000445142
6,69.1477,1.33302,1.58134,1.15577,0.00691,1,0.67156,0.48893,0.98101,3.08335,1.02996,0.000525688,0.000525688,0.000525688
7,80.0172,1.24949,1.57912,1.15527,0.00688,1,0.08222,0.0531,1.02509,3.14009,1.09128,0.000602274,0.000602274,0.000602274
8,90.5927,1.1996,1.48348,1.16625,0.00667,1,0.01331,0.0101,1.04728,3.24565,1.10109,0.000674898,0.000674898,0.000674898
9,101.168,1.2276,1.42425,1.10635,0.00681,1,0.06035,0.02866,1.11803,3.10267,1.11089,0.000743562,0.000743562,0.000743562
10,111.591,1.18343,1.31299,1.09793,0.05631,0.75543,0.0976,0.0494,1.20533,2.73389,1.18676,0.000808265,0.000808265,0.000808265
11,122.205,1.07954,1.29567,1.09081,0.52225,0.40975,0.53758,0.36237,1.21953,2.31327,1.16288,0.000869007,0.000869007,0.000869007
12,132.985,1.10644,1.39977,1.10336,0.94529,0.75566,0.94827,0.61154,1.18021,2.12711,1.19842,0.000925788,0.000925788,0.000925788
13,143.454,1.19731,1.27257,1.09976,0.99172,0.94737,0.9925,0.64653,1.15589,1.96825,1.16708,0.000978609,0.000978609,0.000978609
14,153.864,1.00348,1.17617,1.02499,1,0.91489,0.99262,0.67315,1.09212,1.81617,1.11328,0.00102747,0.00102747,0.00102747
15,164.274,1.08519,1.20275,1.08405,0.98357,0.94555,0.99375,0.66577,1.1351,1.64034,1.11957,0.00107237,0.00107237,0.00107237
16,174.628,1.09895,1.26712,1.06537,0.9738,0.9673,0.995,0.66175,1.21893,1.32565,1.14225,0.00111331,0.00111331,0.00111331
17,185.007,1.1244,1.23765,1.1129,0.98125,0.94724,0.99375,0.68888,1.12,1.37062,1.11759,0.00113889,0.00113889,0.00113889
18,195.371,1.07145,1.21779,1.0847,0.95677,0.93572,0.98142,0.64945,1.11527,1.22644,1.13076,0.00110589,0.00110589,0.00110589
19,205.812,0.84163,2.23032,0.85493,0.98896,0.97368,0.99375,0.63094,1.27149,1.16737,1.25874,0.00107288,0.00107288,0.00107288
20,216.31,1.09093,1.22882,1.13995,0.93827,1,0.995,0.69207,1.12289,1.1737,1.17116,0.00103987,0.00103987,0.00103987
21,226.773,0.90974,2.1487,0.86488,0.93322,1,0.995,0.68807,1.13354,1.09591,1.15911,0.00100687,0.00100687,0.00100687
22,237.353,1.04538,1.05627,1.00728,0.98043,0.98665,0.995,0.74478,0.95621,1.03229,1.05833,0.000973861,0.000973861,0.000973861
